galaxy,tier,age_confidence,morphology_bin,t50_gyr,g98,beta_eff,chi2nu_configg,chi2nu_mond,chi2nu_nfw,rho,phi_last,n_points,vmax_obs_kms,r_knee_kpc,g_outer,chimera_flag
UGC 11820,T2,MEDIUM-HIGH,SPIRAL,6.0,599.1023862890086,2.5096858089428853,0.2386722433367872,0.3567853036427851,0.0138767178973903,0.1625606512545164,0.6348620318778573,10,84.45,1.01,97.39047408343868,False
F568-V1,T2,MEDIUM,SPIRAL,5.7,680.8505856584093,2.4918952747844747,1.6258923177438016,0.3835342950909446,0.0436166676375636,0.199534809555862,0.2806659197293768,15,118.0,1.18,135.85339194554737,False
NGC 3741,T3,HIGH,DWARF,11.1,549.848101757632,2.3574125104729333,0.8054620167031689,0.0412220281515776,0.0040466794784847,0.0506880768852364,0.4070889452138498,21,51.6,0.23,27.87074285714285,False
UGC 08550,T2,HIGH,DWARF,5.8,729.7099704046568,2.4701988799686734,0.2800903581303277,0.0521338979396449,0.0049123329506946,0.1861776538738853,0.7124505102758281,11,57.8,0.97,135.85569029850743,False
UGC 07603,T2,HIGH,DWARF,5.7,1206.7523852941176,2.3119929619864066,0.4158782736301742,0.0768228860720674,0.0251251728594901,0.1472835043546909,0.5529888289203014,12,64.0,0.68,177.7347201946472,False
UGC 12732,T2,HIGH,SPIRAL,7.0,450.72003125,2.5372204216165377,0.7601374108001848,0.2300013662860209,0.0031649424139223,0.3460599740924345,0.8323526295174268,16,98.0,1.92,155.97616233766234,False
UGC 06446,T2,HIGH,SPIRAL,4.6,774.2945448275863,2.511735139617957,0.6106791067085416,0.0646467992843796,0.0136144738953066,0.1973529026520248,0.4992357097720352,17,84.9,0.58,152.8092759295499,False
NGC 0024,T2,MEDIUM,SPIRAL,6.5,2613.1697965963745,1.7839567930502347,0.5581003999710551,0.1001591913875432,0.0378369452192524,0.0687620975161051,0.6062923338237182,29,110.0,3.660158772218436,179.6870363797693,False
NGC 6015,T2,MEDIUM,SPIRAL,6.0,5859.155003701493,1.079819982072398,3.1632370656448696,1.493919218911082,0.1371540852891159,0.037060183845207,0.4827903820447407,44,166.0,10.4496584976937,217.14136161477927,False
F568-1,T2,MEDIUM-LOW,SPIRAL,7.1,586.9937999999999,2.4741782300124693,1.872633916494552,0.6121813532035224,0.1449455881650108,0.6108361699817021,0.4704535654868867,12,142.0,1.32,358.557044595616,False
