galaxy,R_kpc,Vobs_kms,errV_kms,Sigma_HI_Msun_pc2,Sigma_H2_Msun_pc2,Sigma_gas_total_He_Msun_pc2,Sigma_star_Msun_pc2,Vgas_kms,Vdisk_kms,Vbulge_kms,Vbar_kms,kernel,source_ml_convention
M33_NGC598,7.09,110.1,1.7,5.14,0.3984623837814227,7.366154970429292,4.66,36.52486885370316,55.64291598086865,0.0,66.5597486746624,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,7.57,111.1,1.6,4.35,0.32035548859782115,6.211572799835102,3.64,38.51085549899779,54.22965332819148,0.0,66.5127152607719,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,8.06,113.0,2.6,3.2,0.25639109879091443,4.597000161391916,2.83,39.50752467795544,52.77344152256484,0.0,65.92329357908955,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,8.55,113.9,2.4,2.41,0.20519828090643027,3.4782137136055526,2.2,39.482975990071566,51.31776884860574,0.0,64.74889028108124,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,9.04,115.1,3.2,1.78,0.1642269746708008,2.585821876312165,1.71,38.976048347122386,49.86843418737725,0.0,63.29291487250368,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,9.53,116.3,3.1,1.26,0.13143628245999922,1.8506102556717992,1.33,38.021144195053694,48.419251723316705,0.0,61.56323044924602,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,10.02,119.1,2.7,0.99,0.1051928063677364,1.4566064324690893,1.04,36.83412274194526,46.94243845956954,0.0,59.66862765892276,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,10.51,121.0,2.7,0.82,0.08418928399688815,1.2025717477158613,0.96,35.714950780188076,45.57681849402312,0.0,57.903403123377686,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,10.99,121.5,2.1,0.72,0.06768643743374922,1.0476229617868864,0.89,34.7482675608329,44.45946873275907,0.0,56.42771002334238,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,11.48,118.6,2.0,0.65,0.054171695770969454,0.9365483553753895,0.82,33.94201324234555,43.46017094087779,0.0,55.143872924867,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,11.97,118.7,1.9,0.57,0.0433554007857896,0.8157626830451001,0.76,33.265236370612996,42.56487902324658,0.0,54.0217074615045,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
