void_id,void_x,void_y,void_z,Reff_hinvMpc,max_sphere_radius_hinvMpc,edge_flag,N_HI_body,N_HI_interior,N_HI_shell_0p75to1p25,N_dark_candidates,N_HIexcess_top5pct_interior,mean_alignment_median_abs_cos_thetaij,N_has_sdss_phot,N_has_ba,N_has_PA
113,-226.16377187133585,139.69425784629897,52.24722880606086,21.348493415125365,15.502906682357589,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,-114.24031846606393,-243.65455964076548,166.60086570301607,20.96306675451711,15.476424697791726,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,-244.96741500578383,69.06205870652904,137.3032679711954,20.46176765823179,15.379468620066747,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,-118.47470852425366,-209.13929661478613,47.77471981923966,20.45317917051204,15.344154277830716,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,-62.08468327622566,-84.84796247771119,102.59570422096556,21.31616445791436,15.28466174037637,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,-199.54503971120627,108.26749155898392,187.41169139036248,20.422291513628725,15.27463663560918,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,-301.1047194842072,47.36296791323475,65.88329077206257,20.83207015539289,15.227049090502549,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,-254.41957047705117,-0.477037555032654,74.9065910997118,20.82377371441888,15.152649676751734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,-194.9686966395102,-50.08665207243282,211.88576680201305,20.787518773142736,15.103082321615494,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,-162.76790496708333,186.44810776300028,105.18124883844412,21.184033782566114,15.084611279071524,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,-117.73413054157018,171.1139045783593,214.21613166178724,20.43579369753645,15.05391493965959,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,-115.41613946331856,-70.95173903189928,28.29379527827896,20.47497019147001,15.041206765246818,0,80.0,0.0,201.0,0.0,0.0,0.0,80.0,80.0,0.0
145,-212.22263592405747,-217.3429763680832,33.353658043737106,20.4159879099863,14.93667706121333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,-139.0044801315712,-198.96848709484868,176.76565376321386,20.394347869298095,14.67248341977795,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
