scale_Vdisk,ML_factor,ML,g98,beta,Hermes_chi2nu,Hermes_outer_chi2nu,Hermes_outer_mean_residual,MOND_chi2nu,MOND_outer_chi2nu,MOND_outer_mean_residual
2.0,4.0,2.730587333772784,10415.380350318352,0.4240948041527612,3.0094726683335384,2.3730334601368672,-32.37987581737335,4.268620800394031,2.13920054522142,29.946988234393334
2.0250000000000004,4.100625000000002,2.7992786713880067,10675.711663788017,0.39699548888571207,3.084051051145028,2.351552656916692,-32.228946012391134,4.494856145748729,2.2734494245495354,30.912926905997217
2.05,4.2025,2.8688233175450306,10939.276906617552,0.3704683781735321,3.102206569448432,2.294646499413023,-31.78086297831199,4.72701494572389,2.411704541240425,31.87751752863673
2.075,4.305625000000001,2.9392212722438615,11206.07607880696,0.34451609475437256,3.1211387625539326,2.2389219997278307,-31.33426085911236,4.965094382791967,2.553949385099105,32.84075930034881
2.1,4.41,3.0104725354844946,11476.109180356241,0.31914046848068084,3.14088372522194,2.184320987184614,-30.888752466363897,5.209091821434504,2.7001676507594063,33.802652753225715
2.125,4.515625,3.082577107266932,11749.376211265391,0.2943425600680443,3.1614830312907323,2.130788694282905,-30.443952852130924,5.459004807791708,2.850343249726632,34.763199647003816
2.1500000000000004,4.622500000000001,3.1555349875911745,12025.877171534414,0.27012268560989733,3.194461162118777,2.0969077166988837,-30.173902397444174,5.714831068740377,3.0044603208005074,35.72240287026738
2.175,4.730624999999999,3.2293461764572187,12305.612061163305,0.2464804417718624,3.2162077504144464,2.0436223925991914,-29.716739448601874,5.976568510472368,3.1625032390272816,36.68026634871345
2.2,4.840000000000001,3.3040106738650694,12588.58088015207,0.22341473158050168,3.2389348653442207,1.9913124134051086,-29.2590479496366,6.244215216638612,3.3244566233170247,37.63679495996566
2.225,4.9506250000000005,3.3795284798147223,12874.78362850071,0.2009237907225347,3.262703857613167,1.9399392523704575,-28.800474044170475,6.51776944611681,3.4903053428501982,38.59199445446257
2.25,5.0625,3.45589959430618,13164.220306209218,0.17900521427204225,3.287593819079623,1.889500657156981,-28.340942448798316,6.797229630455385,3.660034522387076,39.54587138198241
2.2750000000000004,5.175625000000002,3.5331240173394423,13456.8909132776,0.15765598376490314,3.3219094347451743,1.851295360200531,-27.99132447987211,7.082594371040565,3.8336295465835493,40.498433023398356
2.3,5.289999999999999,3.611201748914506,13752.79544970585,0.13687249454161893,3.3483313562249166,1.8009874446103284,-27.515119809413882,7.373862436028729,4.011076063407955,41.44968732728867
2.325,5.405625000000001,3.690132789031377,14051.933915493973,0.11665058328176264,3.376047793840286,1.7515458888944104,-27.03655548526825,7.671032757081908,4.192359986745356,42.39964285105479
2.35,5.522500000000001,3.7699171376900504,14354.30631064197,0.09698555565558181,3.4051399669525972,1.7029538229770016,-26.555335947270528,7.97410442593994,4.3774674982680795,43.34830870622459
2.375,5.640625,3.8505547948905274,14659.912635149833,0.07787221402070182,3.435691970452306,1.655198079443114,-26.0711757554156,8.283076690859744,4.566385048644625,44.29569450764402
2.4000000000000004,5.760000000000002,3.93204576063281,14968.752889017578,0.059304885094452864,3.4677905149305803,1.6082691730280647,-25.583800095563394,8.597948952948407,4.759099358152588,45.24181032628024
2.425,5.880624999999999,4.014390034916894,15280.827072245182,0.04127744753506252,3.505587223364945,1.565347435898544,-25.125744984224404,8.918720762414196,4.955597416755625,46.18666664538097
2.45,6.002500000000001,4.097587617742784,15596.135184832667,0.023783359367744228,3.539385439002004,1.51867759838215,-24.617422040757035,9.245391814756852,5.1558664836992145,47.130274319753504
2.475,6.125625,4.181638509110478,15914.67722678002,0.006815685194678234,3.574971276419864,1.4729115286697994,-24.105311222210737,9.577961946915991,5.3598940866751015,48.072644537942885
2.5,6.25,4.266542709019975,16236.453198087245,-0.00963287686916764,3.6124416359377305,1.4280537882453672,-23.589187247468086,9.916431133394587,5.567668020600042,49.01378878710681
2.525,6.375624999999999,4.352300217471276,16561.46309875434,-0.02556996858930688,3.6518947854157706,1.384112368236164,-23.06883720303228,10.260799482372272,5.779176346050353,49.95371882039767
2.5500000000000003,6.502500000000001,4.4389110344643825,16889.70692878131,-0.041003545385924045,3.6934301416813184,1.3410986027984573,-22.544060724528432,10.611067231821556,5.994407387390144,50.89244662667696
2.575,6.630625000000001,4.526375159999292,17221.18468816815,-0.055941850537616356,3.7305505012212263,1.2951423230900274,-21.971152709430708,10.967234745638496,6.213349730627733,51.82998440239967
2.6,6.760000000000001,4.614692594076005,17555.89637691486,-0.07039338986013371,3.774642394381576,1.2531279817501852,-21.4253429790212,11.329302509797957,6.435992221031797,52.76634452551789
2.625,6.890625,4.703863336694523,17893.841995021445,-0.08436690690232457,3.821088074793015,1.212161901246392,-20.874695789109392,11.697271128542152,6.662323960535757,53.7015395312636
2.65,7.0225,4.793887387854843,18235.02154248789,-0.09787135869827729,3.8699935385515936,1.1722732965895837,-20.31912441666313,12.071141320610206,6.892334304956603,54.635582089680746
2.6750000000000003,7.1556250000000015,4.884764747556971,18579.435019314224,-0.11091589211142916,3.921462829853037,1.133488786071754,-19.758499464000533,12.45091391551531,7.126012861051863,55.56848498478616
2.7,7.290000000000001,4.976495415800899,18927.082425500423,-0.12350982080320577,3.9755997217734538,1.09583713357793,-19.192698901483862,12.836589849875134,7.363349483436276,56.50026109524679
2.725,7.425625,5.069079392586632,19277.963761046492,-0.13566260285560006,3.987044609373767,1.0528877301026038,-18.575976286229903,13.228170163800398,7.604334271377902,57.430923376469735
2.75,7.5625,5.162516677914169,19632.07902595243,-0.14738381907395248,4.042141674321128,1.0170492725209703,-17.99450585738545,13.625655997345579,7.848957565491379,58.36048484400762
2.775,7.700625,5.256807271783511,19989.42822021824,-0.15868315199313132,4.100231711610473,0.9824733736447908,-17.407550851840682,14.029048587025272,8.097209944344637,59.288958558189655
2.8000000000000003,7.840000000000002,5.3519511741946575,20350.01134384393,-0.16957036560728,4.161417514503031,0.949198981380116,-16.81504435617223,14.438349262398953,8.349082220993749,60.2163576098948
2.825,7.980625000000001,5.4479483851476065,20713.828396829478,-0.18005528584035296,4.2258008717129,0.9172668532952158,-16.216930717850264,14.853559442726404,8.604565439459165,61.1426951073888
2.85,8.1225,5.54479890464236,21080.87937917491,-0.19014778177178496,4.2934824331079975,0.8867194056767393,-15.613165267495127,15.274680633695656,8.863650871155563,62.0679841641531
2.875,8.265625,5.642502732678917,21451.164290880206,-0.1998577476288362,4.285853635801986,0.8496879569892332,-15.002415229644194,15.70171442422476,9.126330011286099,62.992237887637984
2.9000000000000004,8.410000000000002,5.741059869257279,21824.68313194538,-0.20919508555446364,4.355400759604326,0.8214852068659996,-14.385627191279506,16.13466248333832,9.392594575210975,63.915469368877176
