mass_bin,dn4000_slice,R_mpc,DeltaSigma_Msun_per_pc2,DeltaSigma_err_Msun_per_pc2,DeltaSigma_x_Msun_per_pc2,denom_sum_w2_approx,num_sum_w1_et,N_lenses_used
9.8-10.1,4,1.3050786078412682,-3.2517759110028215,2.363892663804174,-0.47982975923522825,0.16136971860719096,-0.5247381637321673,223
9.8-10.1,4,1.9155934247786433,-1.8073911728815417,1.6010620106078637,-1.3661037129299343,0.3489970236419708,-0.6307741398924288,223
9.8-10.1,4,2.8117066259517443,0.8358773392420753,1.1110728097912979,-0.33213547580557023,0.729117078149411,0.6094524432794859,223
9.8-10.1,4,4.127020926340092,-0.07372621530799131,0.7658975360308117,0.6196045096532744,1.5279507697300438,-0.11265002742912827,223
9.8-10.1,5,0.06057638293142942,-4.7412760284179685,50.40290637729391,46.419299795672664,0.0003559640946244058,-0.0016877240288202006,224
9.8-10.1,5,0.08891397050194613,25.460770214959002,35.404648432231085,-4.417351190031532,0.0007227977819994069,0.01840298823936893,224
9.8-10.1,5,0.13050786078412682,-5.804172128747989,23.612279192645914,52.649871521376355,0.001616131699143264,-0.009380306564553463,224
9.8-10.1,5,0.19155934247786435,25.708370274711523,15.948387851129704,-22.14187516762523,0.003526855944003149,0.0906697185140002,224
9.8-10.1,5,0.2811706625951745,-15.246034481888275,10.949163422544991,6.90848454592813,0.007479294034832551,-0.11402957475523835,224
9.8-10.1,5,0.4127020926340091,-7.989483335048201,7.465812182321573,-2.0944217683738366,0.01606007977439028,-0.1283117397170358,224
9.8-10.1,5,0.6057638293142941,2.2065415286068304,5.161807689962795,-2.8129636631148753,0.033837269034694195,0.0746633393396947,224
9.8-10.1,5,0.8891397050194609,-4.312484495358033,3.494360856885171,1.2733564579061838,0.07318300995768556,-0.31560059576615157,224
9.8-10.1,5,1.3050786078412682,3.3408361018030788,2.390073071278382,-5.525301148021317,0.1575190238177555,0.5262452414911366,224
9.8-10.1,5,1.9155934247786433,-0.734487761706568,1.6421803835999442,-0.9703242899927143,0.33264083835066316,-0.2443206248123749,224
9.8-10.1,5,2.8117066259517443,-1.3192512212600795,1.128534618594902,-0.38888033612721756,0.7050503946794655,-0.9301385942307859,224
9.8-10.1,5,4.127020926340092,0.9105416748991487,0.7771716230203579,0.005125841210349063,1.484149522718738,1.351379992217092,224
10.1-10.4,1,0.06057638293142942,44.31892782823955,39.754700128297216,-42.03592374990341,0.0005717629781231137,0.025339922162297586,397
10.1-10.4,1,0.08891397050194613,51.3102397982828,27.378842454699875,-15.394458009565842,0.0012084366807327829,0.06200517586944,397
10.1-10.4,1,0.13050786078412682,2.706317789844667,18.62641320325195,14.403338470089668,0.002596112425438668,0.007025905241401453,397
10.1-10.4,1,0.19155934247786435,21.452251613710807,12.409801056253436,2.117918450360261,0.005817357357914915,0.12479541376886268,397
10.1-10.4,1,0.2811706625951745,22.394036449569974,8.543632835611945,15.170950695568605,0.012292611566331768,0.27528119147683905,397
10.1-10.4,1,0.4127020926340091,-0.7946774558638914,5.781773038909935,-6.508894744145798,0.026747778102528375,-0.021255856252529154,397
