label,mass_bin,R_mpc,n_slices_used,slope_b_per_dn4000,slope_b_err,intercept_a,intercept_a_err,chi2,dof,chi2_pvalue
FULL,10.1-10.4,0.6057638293142941,5,-1.2389559178089136,1.2422076234890909,3.404250461484084,4.161915880006463,1.589234810756994,3,0.661833210179636
FULL,10.1-10.4,0.8891397050194609,5,-0.8049726363399248,0.8493191397965231,0.7568051182321882,2.8524411149520272,4.736162429291056,3,0.19216791237203285
FULL,10.1-10.4,1.3050786078412682,5,-0.87457102607439,0.5820610121906202,3.4107434569565136,1.9520531267256886,6.028315863874628,3,0.11024069425909362
FULL,10.1-10.4,1.9155934247786437,5,1.3604032099917844,0.3986801819050708,-4.7816711013235595,1.3339346320423755,1.7070564201732328,3,0.6353661330576448
FULL,10.1-10.4,2.8117066259517443,5,-0.005144443335084481,0.27414119934350184,-0.24921824798061915,0.9199954124295235,5.806527514454975,3,0.12141200685920722
FULL,10.1-10.4,4.127020926340092,5,-0.06104321838828284,0.18821984158967286,0.488335293166612,0.6324332262599741,3.0207529823363943,3,0.38843652900980813
FULL,10.4-10.7,0.0605763829314294,5,-4.927038130752919,11.337472621949555,29.610414229896808,38.07951544679819,2.5927293560800977,3,0.4587656106547814
FULL,10.4-10.7,0.0889139705019461,5,-3.30498171345614,7.554937769200098,27.08277407052314,25.151609627780847,0.4794285943768281,3,0.9233870506378455
FULL,10.4-10.7,0.1305078607841268,5,-3.4719220111416846,5.22148019693243,21.92152055047724,17.408314710668485,4.371405628854744,3,0.2240514401324345
FULL,10.4-10.7,0.1915593424778643,5,-0.051104020894719736,3.4774387120154033,0.06004034400059684,11.60740019319349,6.160495736673456,3,0.1040575604449264
FULL,10.4-10.7,0.2811706625951745,5,-2.8722291787957803,2.38532744550517,17.151510480690167,7.967013541887167,1.0034757924395499,3,0.800410917731582
FULL,10.4-10.7,0.4127020926340091,5,1.0247645563653491,1.6242784977372866,-2.3179816473620964,5.443678345708377,2.1267247792110813,3,0.5465251078567108
FULL,10.4-10.7,0.6057638293142941,5,0.42843262737812227,1.1172239777043569,-1.6783945395453357,3.7423904785565876,0.24440734332080907,3,0.9701207352927124
FULL,10.4-10.7,0.8891397050194609,5,-0.733802714333206,0.7641150757861822,4.349762398967117,2.5560828459233194,6.729609397243971,3,0.08103405837771217
FULL,10.4-10.7,1.3050786078412682,5,-1.6553454345596423,0.5230708422064068,5.672989638938219,1.753055446615426,1.0272766567699616,3,0.7946522082048632
